,open,high,low,close,volume
20210910,25225,25530,25105,25440,13559987
20210909,25800,25995,25160,25195,18163417
20210908,26335,26535,26010,26095,14233664
20210907,26765,26815,26370,26550,14010273
20210906,26685,26925,26565,26860,12580123
20210903,26495,26800,26355,26700,17121606
20210902,26730,26830,26180,26365,16553512
20210901,26630,26985,26460,26850,17493693
20210831,25805,26760,25535,26760,20795203
20210830,26150,26240,25625,25755,12991016
20210827,25470,25825,25245,25640,14860446
20210826,26125,26290,25575,25675,15882733
20210825,26040,26295,25690,26075,19482466
20210824,25400,25915,25350,25890,17730525
20210823,24870,25315,24620,24950,19130182
20210820,25160,25370,24285,24485,30210823
20210819,25645,25935,25000,25000,23008753
20210818,25770,26260,25485,26055,17333392
20210817,26355,26535,25665,25765,18550336
20210813,27155,27155,26115,26375,27283491
20210812,27390,27535,27050,27215,17240806
20210811,27715,27960,27400,27470,18165286
20210810,28500,28530,27745,27920,15818197
20210809,28270,28525,28100,28330,11269289
20210806,28810,28965,28440,28570,14151012
20210805,28950,29160,28730,28820,15219536
20210804,28280,28995,28180,28925,20572321
20210803,27585,28145,27555,28145,13891236
20210802,27670,27750,27265,27680,14173619
20210730,27875,27875,27360,27390,17980812
20210729,28105,28260,27880,28070,13485226
20210728,27755,28095,27545,27990,13397382
20210727,28055,28250,27840,27865,11594052
20210726,28475,28475,27765,27765,12061510
20210723,28330,28500,28170,28335,10513559
20210722,27885,28360,27885,28245,15262238
20210721,28200,28210,27520,27570,18124463
20210720,27650,27920,27580,27895,14707012
20210719,28200,28215,27925,28055,13996417
20210716,28655,28760,28465,28690,11280791
20210715,28700,28980,28540,28970,12200476
20210714,28500,28650,28320,28555,10497368
20210713,28550,28785,28550,28775,10068046
20210712,28065,28345,28065,28290,12621823
20210709,27905,28105,27290,27760,25551462
20210708,29085,29225,28410,28410,18625677
20210707,29170,29190,28855,29000,12991470
20210706,29270,29540,29265,29385,10886402
20210705,29065,29275,29000,29135,10021440
20210702,28875,29145,28825,28850,9693606
20210701,29280,29285,28840,28925,12170213
20210630,29250,29460,29190,29300,11091821
20210629,29385,29415,28935,29120,12565844
20210628,29470,29535,29190,29340,10046256
20210625,29375,29695,29290,29405,16884200
20210624,28990,29260,28970,29105,13849785
20210623,28780,28965,28640,28905,13823713
20210622,28465,28650,28425,28580,13781909
20210621,28210,28385,27935,28165,18169567
20210618,28695,28900,28590,28750,13983412
20210617,28605,28685,28370,28590,14511487
20210616,28520,29010,28505,28925,14909521
20210615,28505,28670,28390,28590,13518658
20210614,28505,28510,28250,28455,10911607
20210611,28170,28550,28165,28450,19567411
20210610,27895,28220,27805,28055,13855404
20210609,28420,28420,27880,27880,16971807
20210608,28575,28740,28405,28490,15550340
20210607,28760,28850,28245,28590,20223549
20210604,28360,28520,28050,28375,18268063
20210603,28240,28850,28220,28645,19345065
20210602,28185,28500,28065,28125,18284351
20210601,27875,28450,27775,28165,22476857
20210531,27765,27840,27430,27840,17739979
20210528,27475,27850,27365,27650,19262977
20210527,27400,27475,26900,27320,24728052
20210526,27530,27710,27265,27360,18253444
20210525,27210,27565,27110,27495,20816162
20210524,27060,27275,26840,26975,20055709
20210521,27445,27915,27025,27145,33421406
20210520,26850,27290,26805,27155,17122045
20210518,26835,27425,26835,27350,20043412
20210517,27235,27235,26415,26710,22293993
20210514,26705,27125,26595,26995,26719900
20210513,26320,26995,26225,26475,29424881
20210512,27985,28030,26705,27090,35097167
20210511,28600,28725,27800,28020,23006723
20210510,28400,29170,28265,29020,22633219
20210507,27775,28250,27715,28085,15577931
20210506,27140,27735,27090,27700,16561641
20210504,27000,27385,26810,27375,17860423
20210503,27220,27715,26875,26955,21960649
20210430,27555,27735,27075,27220,22059948
20210429,28030,28220,27570,27650,28336691
20210428,28415,28420,27755,27875,21343808
20210427,28460,28525,28230,28500,18554058
20210426,28100,28425,27990,28395,19801238
20210423,27590,28065,27245,27920,22177237
20210422,28020,28235,27810,27880,21765163
20210421,28530,28530,27615,27820,29138901
20210420,28390,28890,28370,28835,21641489
20210419,28490,28810,28325,28505,23443553
20210416,28710,28740,28315,28495,23986694
20210415,28350,28865,28335,28555,31057720
20210414,28185,28540,28000,28470,27672640
20210413,27455,28255,27420,28075,25702399
20210412,27625,27685,27310,27445,19471437
20210409,27765,27985,27320,27455,27115091
20210408,27690,27845,27475,27760,19711704
20210407,27760,27980,27590,27755,20754192
20210406,27950,27950,27380,27675,24988158
20210405,27650,27745,27270,27590,20547666
20210402,27285,27645,27285,27485,24139746
20210401,26750,26970,26555,26870,24184724
20210331,26605,27020,26375,26395,24582880
20210330,26110,26700,26070,26540,26283292
20210329,26180,26220,25735,25950,26928462
20210326,25740,26075,25635,26050,29749705
20210325,25225,25895,25190,25555,27515998
20210324,25250,25565,24945,25360,24848051
20210323,26365,26500,25535,25580,35583949
20210322,26150,26255,25675,26060,26958064
20210319,25820,26250,25725,26000,29806972
20210318,26600,27065,26550,26570,32567970
20210317,26585,26640,25840,26210,32995019
20210316,26370,26710,26295,26580,30289170
20210315,26500,26595,26110,26135,30380710
20210312,26460,26710,26240,26430,38050501
20210311,25130,26100,25125,26000,37068944
20210310,25885,25900,24835,24945,38650686
20210309,25595,25655,24475,25250,57374495
20210308,26535,26540,25485,25595,42006234
20210305,25630,26235,25280,26065,45133641
20210304,26270,26755,25945,26335,38674679
20210303,26300,27015,26110,27015,32148964
20210302,27010,27330,26010,26410,44977787
20210226,26075,26210,25370,25880,48357169
20210225,26275,27380,26210,27330,39211065
20210224,26595,27100,25460,25510,49977421
20210223,26290,27040,25935,26620,39592896
20210222,27580,27860,26620,26700,37326621
20210219,26835,27295,25915,27250,47141287
20210218,27435,27710,26750,26805,33226326
20210217,27860,27890,27195,27600,32446979
20210216,28130,28720,27975,28240,37361793
20210215,27965,28240,27775,28010,33073310
20210210,27025,27330,26450,27195,30047576
20210209,27340,27760,26840,26840,37805382
20210208,27480,27705,26920,27020,40121460
20210205,27245,27640,26820,27545,47684907
20210204,27630,27640,26470,26870,42249353
20210203,27785,28155,27105,27825,46360819
20210202,27090,28150,26770,27350,56183878
20210201,25240,26600,24795,26585,53778379
20210129,27125,27210,25105,25340,57505130
20210128,26295,27220,26160,26610,47377915
20210127,28230,28795,27465,27620,45821696
20210126,29300,29325,27600,27865,42364091
20210125,28285,29485,28105,29435,32979184
20210122,28650,28980,28075,28110,40157143
20210121,28100,28550,27805,28500,42355957
20210120,28280,28430,27075,27680,43972411
20210119,26265,27730,25990,27385,50743899
20210118,26705,27175,25800,25985,51188340
20210115,28745,29420,27250,27315,60344002
20210114,28235,28770,28170,28505,36143296
20210113,28245,29035,27890,28585,62416313
20210112,28435,28810,26675,28245,71900133
20210111,29235,31030,27790,28830,106595339
20210108,26935,28905,26765,28660,82580037
20210107,25700,26670,25610,26265,64213048
20210106,25745,26240,24875,25045,77182322
20210105,24470,25575,24375,25575,61802611
20210104,23605,24865,23400,24830,47006539
20201230,22310,23630,22240,23555,82665235
20201229,22075,22555,21980,22450,63443120
20201228,21920,22180,21630,21800,57482972
20201224,20890,21725,20865,21545,61410948
20201223,20405,20810,20050,20775,52005722
20201222,20700,20825,20210,20235,55670138
20201221,20890,20920,20390,20855,51147462
20201218,20970,21035,20760,20840,43882977
20201217,20945,20975,20460,20910,55642580
20201216,21055,21195,20820,20950,41428819
20201215,20815,20860,20325,20790,58116950
20201214,21080,21170,20720,20800,56597663
20201211,20870,21145,20815,20940,67535083
20201210,20410,20920,20190,20595,86399159
20201209,20170,20850,20140,20850,69067841
20201208,20550,20630,19985,19990,72233743
